PO_Number,Vendor,Supplier,Material,PO_Quantity,Order_Value,Due_Date,Creation_Date,Prior_Year_Orders,Prior_Year_Value
NEWPO2026_SCALED_000030,1100000070,Medical-Grade Polymer Manufacturer,SAMPLE TUBE 1.5 ML PKG/100,10,0.81,2026-12-01,2026-02-22,1,8.11
NEWPO2026_SCALED_000031,1100000070,Medical-Grade Polymer Manufacturer,"PELLET PESTLE W/TUBE,0.5ML,RNASE-FREE,FS",218,83.45,2026-03-02,2026-02-22,1,834.46
NEWPO2026_SCALED_000032,1100000070,Medical-Grade Polymer Manufacturer,"PELLET PESTLE W/TUBE,0.5ML,RNASE-FREE,FS",218,83.45,2026-04-01,2026-02-22,1,834.46
NEWPO2026_SCALED_000033,1100000070,Medical-Grade Polymer Manufacturer,"PELLET PESTLE W/TUBE,0.5ML,RNASE-FREE,FS",218,83.45,2026-05-01,2026-02-22,1,834.46
NEWPO2026_SCALED_000034,1100000070,Medical-Grade Polymer Manufacturer,"PELLET PESTLE W/TUBE,0.5ML,RNASE-FREE,FS",218,83.45,2026-06-01,2026-02-22,1,834.46
NEWPO2026_SCALED_000035,1100000070,Medical-Grade Polymer Manufacturer,"PELLET PESTLE W/TUBE,0.5ML,RNASE-FREE,FS",218,83.45,2026-07-01,2026-02-22,1,834.46
NEWPO2026_SCALED_000036,1100000070,Medical-Grade Polymer Manufacturer,"PELLET PESTLE W/TUBE,0.5ML,RNASE-FREE,FS",218,83.45,2026-08-03,2026-02-22,1,834.46
NEWPO2026_SCALED_000037,1100000070,Medical-Grade Polymer Manufacturer,"PELLET PESTLE W/TUBE,0.5ML,RNASE-FREE,FS",218,83.45,2026-09-01,2026-02-22,1,834.46
NEWPO2026_SCALED_000038,1100000070,Medical-Grade Polymer Manufacturer,"PELLET PESTLE W/TUBE,0.5ML,RNASE-FREE,FS",218,83.45,2026-10-01,2026-02-22,1,834.46
NEWPO2026_SCALED_000039,1100000070,Medical-Grade Polymer Manufacturer,"PELLET PESTLE W/TUBE,0.5ML,RNASE-FREE,FS",218,83.45,2026-11-02,2026-02-22,1,834.46
NEWPO2026_SCALED_000040,1100000070,Medical-Grade Polymer Manufacturer,"PELLET PESTLE W/TUBE,0.5ML,RNASE-FREE,FS",218,83.45,2026-12-01,2026-02-22,1,834.46
NEWPO2026_SCALED_000041,1100000070,Medical-Grade Polymer Manufacturer,MICROTB 1.5ML POLYPR PK500,543,17.6,2026-03-02,2026-02-22,1,176.0
NEWPO2026_SCALED_000042,1100000070,Medical-Grade Polymer Manufacturer,MICROTB 1.5ML POLYPR PK500,543,17.6,2026-04-01,2026-02-22,1,176.0
NEWPO2026_SCALED_000043,1100000070,Medical-Grade Polymer Manufacturer,MICROTB 1.5ML POLYPR PK500,543,17.6,2026-05-01,2026-02-22,1,176.0
NEWPO2026_SCALED_000044,1100000070,Medical-Grade Polymer Manufacturer,MICROTB 1.5ML POLYPR PK500,543,17.6,2026-06-01,2026-02-22,1,176.0
NEWPO2026_SCALED_000045,1100000070,Medical-Grade Polymer Manufacturer,MICROTB 1.5ML POLYPR PK500,543,17.6,2026-07-01,2026-02-22,1,176.0
NEWPO2026_SCALED_000046,1100000070,Medical-Grade Polymer Manufacturer,MICROTB 1.5ML POLYPR PK500,543,17.6,2026-08-03,2026-02-22,1,176.0
NEWPO2026_SCALED_000047,1100000070,Medical-Grade Polymer Manufacturer,MICROTB 1.5ML POLYPR PK500,543,17.6,2026-09-01,2026-02-22,1,176.0
NEWPO2026_SCALED_000048,1100000070,Medical-Grade Polymer Manufacturer,MICROTB 1.5ML POLYPR PK500,543,17.6,2026-10-01,2026-02-22,1,176.0
NEWPO2026_SCALED_000049,1100000070,Medical-Grade Polymer Manufacturer,MICROTB 1.5ML POLYPR PK500,543,17.6,2026-11-02,2026-02-22,1,176.0
NEWPO2026_SCALED_000050,1100000070,Medical-Grade Polymer Manufacturer,MICROTB 1.5ML POLYPR PK500,543,17.6,2026-12-01,2026-02-22,1,176.0
NEWPO2026_SCALED_000051,1100000070,Medical-Grade Polymer Manufacturer,SAMPLE TUBE 1.5 ML PKG/500,148,6.1,2026-03-02,2026-02-22,2,60.96
NEWPO2026_SCALED_000052,1100000070,Medical-Grade Polymer Manufacturer,SAMPLE TUBE 1.5 ML PKG/500,148,6.1,2026-04-01,2026-02-22,2,60.96
NEWPO2026_SCALED_000053,1100000070,Medical-Grade Polymer Manufacturer,SAMPLE TUBE 1.5 ML PKG/500,148,6.1,2026-05-01,2026-02-22,2,60.96
NEWPO2026_SCALED_000054,1100000070,Medical-Grade Polymer Manufacturer,SAMPLE TUBE 1.5 ML PKG/500,148,6.1,2026-06-01,2026-02-22,2,60.96
NEWPO2026_SCALED_000055,1100000070,Medical-Grade Polymer Manufacturer,SAMPLE TUBE 1.5 ML PKG/500,148,6.1,2026-07-01,2026-02-22,2,60.96
NEWPO2026_SCALED_000056,1100000070,Medical-Grade Polymer Manufacturer,SAMPLE TUBE 1.5 ML PKG/500,148,6.1,2026-08-03,2026-02-22,2,60.96
NEWPO2026_SCALED_000057,1100000070,Medical-Grade Polymer Manufacturer,SAMPLE TUBE 1.5 ML PKG/500,148,6.1,2026-09-01,2026-02-22,2,60.96
NEWPO2026_SCALED_000058,1100000070,Medical-Grade Polymer Manufacturer,SAMPLE TUBE 1.5 ML PKG/500,148,6.1,2026-10-01,2026-02-22,2,60.96
NEWPO2026_SCALED_000059,1100000070,Medical-Grade Polymer Manufacturer,SAMPLE TUBE 1.5 ML PKG/500,148,6.1,2026-11-02,2026-02-22,2,60.96
NEWPO2026_SCALED_000060,1100000070,Medical-Grade Polymer Manufacturer,SAMPLE TUBE 1.5 ML PKG/500,148,6.1,2026-12-01,2026-02-22,2,60.96
NEWPO2026_SCALED_000061,1100000070,Medical-Grade Polymer Manufacturer,"TISSUE,GRINDER,COMP,SZ 15,CS1,MOLDED TIP",51,4157.95,2026-03-02,2026-02-22,2,41579.52
NEWPO2026_SCALED_000062,1100000070,Medical-Grade Polymer Manufacturer,"TISSUE,GRINDER,COMP,SZ 15,CS1,MOLDED TIP",51,4157.95,2026-04-01,2026-02-22,2,41579.52
NEWPO2026_SCALED_000063,1100000070,Medical-Grade Polymer Manufacturer,"TISSUE,GRINDER,COMP,SZ 15,CS1,MOLDED TIP",51,4157.95,2026-05-01,2026-02-22,2,41579.52
NEWPO2026_SCALED_000064,1100000070,Medical-Grade Polymer Manufacturer,"TISSUE,GRINDER,COMP,SZ 15,CS1,MOLDED TIP",51,4157.95,2026-06-01,2026-02-22,2,41579.52
NEWPO2026_SCALED_000065,1100000070,Medical-Grade Polymer Manufacturer,"TISSUE,GRINDER,COMP,SZ 15,CS1,MOLDED TIP",51,4157.95,2026-07-01,2026-02-22,2,41579.52
NEWPO2026_SCALED_000066,1100000070,Medical-Grade Polymer Manufacturer,"TISSUE,GRINDER,COMP,SZ 15,CS1,MOLDED TIP",51,4157.95,2026-08-03,2026-02-22,2,41579.52
NEWPO2026_SCALED_000067,1100000070,Medical-Grade Polymer Manufacturer,"TISSUE,GRINDER,COMP,SZ 15,CS1,MOLDED TIP",51,4157.95,2026-09-01,2026-02-22,2,41579.52
NEWPO2026_SCALED_000068,1100000070,Medical-Grade Polymer Manufacturer,"TISSUE,GRINDER,COMP,SZ 15,CS1,MOLDED TIP",51,4157.95,2026-10-01,2026-02-22,2,41579.52
NEWPO2026_SCALED_000069,1100000070,Medical-Grade Polymer Manufacturer,"TISSUE,GRINDER,COMP,SZ 15,CS1,MOLDED TIP",51,4157.95,2026-11-02,2026-02-22,2,41579.52
NEWPO2026_SCALED_000070,1100000070,Medical-Grade Polymer Manufacturer,"TISSUE,GRINDER,COMP,SZ 15,CS1,MOLDED TIP",51,4157.95,2026-12-01,2026-02-22,2,41579.52
NEWPO2026_SCALED_000071,1100000070,Medical-Grade Polymer Manufacturer,"PELLET PESTLE ONLY,1.5ML,RNASE-FREE,FS",5855,1315.11,2026-03-02,2026-02-22,2,13151.1
NEWPO2026_SCALED_000072,1100000070,Medical-Grade Polymer Manufacturer,"PELLET PESTLE ONLY,1.5ML,RNASE-FREE,FS",5855,1315.11,2026-04-01,2026-02-22,2,13151.1
NEWPO2026_SCALED_000073,1100000070,Medical-Grade Polymer Manufacturer,"PELLET PESTLE ONLY,1.5ML,RNASE-FREE,FS",5855,1315.11,2026-05-01,2026-02-22,2,13151.1
NEWPO2026_SCALED_000074,1100000070,Medical-Grade Polymer Manufacturer,"PELLET PESTLE ONLY,1.5ML,RNASE-FREE,FS",5855,1315.11,2026-06-01,2026-02-22,2,13151.1
NEWPO2026_SCALED_000075,1100000070,Medical-Grade Polymer Manufacturer,"PELLET PESTLE ONLY,1.5ML,RNASE-FREE,FS",5855,1315.11,2026-07-01,2026-02-22,2,13151.1
NEWPO2026_SCALED_000076,1100000070,Medical-Grade Polymer Manufacturer,"PELLET PESTLE ONLY,1.5ML,RNASE-FREE,FS",5855,1315.11,2026-08-03,2026-02-22,2,13151.1
NEWPO2026_SCALED_000077,1100000070,Medical-Grade Polymer Manufacturer,"PELLET PESTLE ONLY,1.5ML,RNASE-FREE,FS",5855,1315.11,2026-09-01,2026-02-22,2,13151.1
NEWPO2026_SCALED_000078,1100000070,Medical-Grade Polymer Manufacturer,"PELLET PESTLE ONLY,1.5ML,RNASE-FREE,FS",5855,1315.11,2026-10-01,2026-02-22,2,13151.1
NEWPO2026_SCALED_000079,1100000070,Medical-Grade Polymer Manufacturer,"PELLET PESTLE ONLY,1.5ML,RNASE-FREE,FS",5855,1315.11,2026-11-02,2026-02-22,2,13151.1
NEWPO2026_SCALED_000080,1100000070,Medical-Grade Polymer Manufacturer,"PELLET PESTLE ONLY,1.5ML,RNASE-FREE,FS",5855,1315.11,2026-12-01,2026-02-22,2,13151.1
NEWPO2026_SCALED_000081,1100000070,Medical-Grade Polymer Manufacturer,PLT PSTL ONLY 1.5 RNASE-FR,2715,606.29,2026-03-02,2026-02-22,1,6062.88
NEWPO2026_SCALED_000082,1100000070,Medical-Grade Polymer Manufacturer,PLT PSTL ONLY 1.5 RNASE-FR,2715,606.29,2026-04-01,2026-02-22,1,6062.88
NEWPO2026_SCALED_000083,1100000070,Medical-Grade Polymer Manufacturer,PLT PSTL ONLY 1.5 RNASE-FR,2715,606.29,2026-05-01,2026-02-22,1,6062.88
NEWPO2026_SCALED_000084,1100000070,Medical-Grade Polymer Manufacturer,PLT PSTL ONLY 1.5 RNASE-FR,2715,606.29,2026-06-01,2026-02-22,1,6062.88
NEWPO2026_SCALED_000085,1100000070,Medical-Grade Polymer Manufacturer,PLT PSTL ONLY 1.5 RNASE-FR,2715,606.29,2026-07-01,2026-02-22,1,6062.88
NEWPO2026_SCALED_000086,1100000070,Medical-Grade Polymer Manufacturer,PLT PSTL ONLY 1.5 RNASE-FR,2715,606.29,2026-08-03,2026-02-22,1,6062.88
NEWPO2026_SCALED_000087,1100000070,Medical-Grade Polymer Manufacturer,PLT PSTL ONLY 1.5 RNASE-FR,2715,606.29,2026-09-01,2026-02-22,1,6062.88
NEWPO2026_SCALED_000088,1100000070,Medical-Grade Polymer Manufacturer,PLT PSTL ONLY 1.5 RNASE-FR,2715,606.29,2026-10-01,2026-02-22,1,6062.88
NEWPO2026_SCALED_000089,1100000070,Medical-Grade Polymer Manufacturer,PLT PSTL ONLY 1.5 RNASE-FR,2715,606.29,2026-11-02,2026-02-22,1,6062.88
NEWPO2026_SCALED_000090,1100000070,Medical-Grade Polymer Manufacturer,PLT PSTL ONLY 1.5 RNASE-FR,2715,606.29,2026-12-01,2026-02-22,1,6062.88
NEWPO2026_SCALED_000091,1100000070,Medical-Grade Polymer Manufacturer,PELLET PESTLE ONLY 0.5ML.,10,1.58,2026-03-02,2026-02-22,1,15.83
NEWPO2026_SCALED_000092,1100000070,Medical-Grade Polymer Manufacturer,PELLET PESTLE ONLY 0.5ML.,10,1.58,2026-04-01,2026-02-22,1,15.83
NEWPO2026_SCALED_000093,1100000070,Medical-Grade Polymer Manufacturer,PELLET PESTLE ONLY 0.5ML.,10,1.58,2026-05-01,2026-02-22,1,15.83
NEWPO2026_SCALED_000094,1100000070,Medical-Grade Polymer Manufacturer,PELLET PESTLE ONLY 0.5ML.,10,1.58,2026-06-01,2026-02-22,1,15.83
NEWPO2026_SCALED_000095,1100000070,Medical-Grade Polymer Manufacturer,PELLET PESTLE ONLY 0.5ML.,10,1.58,2026-07-01,2026-02-22,1,15.83
NEWPO2026_SCALED_000096,1100000070,Medical-Grade Polymer Manufacturer,PELLET PESTLE ONLY 0.5ML.,10,1.58,2026-08-03,2026-02-22,1,15.83
NEWPO2026_SCALED_000097,1100000070,Medical-Grade Polymer Manufacturer,PELLET PESTLE ONLY 0.5ML.,10,1.58,2026-09-01,2026-02-22,1,15.83
NEWPO2026_SCALED_000098,1100000070,Medical-Grade Polymer Manufacturer,PELLET PESTLE ONLY 0.5ML.,10,1.58,2026-10-01,2026-02-22,1,15.83
NEWPO2026_SCALED_000099,1100000070,Medical-Grade Polymer Manufacturer,PELLET PESTLE ONLY 0.5ML.,10,1.58,2026-11-02,2026-02-22,1,15.83
NEWPO2026_SCALED_000100,1100000070,Medical-Grade Polymer Manufacturer,PELLET PESTLE ONLY 0.5ML.,10,1.58,2026-12-01,2026-02-22,1,15.83
NEWPO2026_SCALED_000101,1100000070,Medical-Grade Polymer Manufacturer,PLT PSTL W/TB 1.5 RNASE-FR.,3437,1311.8,2026-03-02,2026-02-22,2,13118.0
NEWPO2026_SCALED_000102,1100000070,Medical-Grade Polymer Manufacturer,PLT PSTL W/TB 1.5 RNASE-FR.,3437,1311.8,2026-04-01,2026-02-22,2,13118.0
NEWPO2026_SCALED_000103,1100000070,Medical-Grade Polymer Manufacturer,PLT PSTL W/TB 1.5 RNASE-FR.,3437,1311.8,2026-05-01,2026-02-22,2,13118.0
NEWPO2026_SCALED_000104,1100000070,Medical-Grade Polymer Manufacturer,PLT PSTL W/TB 1.5 RNASE-FR.,3437,1311.8,2026-06-01,2026-02-22,2,13118.0
NEWPO2026_SCALED_000105,1100000070,Medical-Grade Polymer Manufacturer,PLT PSTL W/TB 1.5 RNASE-FR.,3437,1311.8,2026-07-01,2026-02-22,2,13118.0
NEWPO2026_SCALED_000106,1100000070,Medical-Grade Polymer Manufacturer,PLT PSTL W/TB 1.5 RNASE-FR.,3437,1311.8,2026-08-03,2026-02-22,2,13118.0
NEWPO2026_SCALED_000107,1100000070,Medical-Grade Polymer Manufacturer,PLT PSTL W/TB 1.5 RNASE-FR.,3437,1311.8,2026-09-01,2026-02-22,2,13118.0
NEWPO2026_SCALED_000108,1100000070,Medical-Grade Polymer Manufacturer,PLT PSTL W/TB 1.5 RNASE-FR.,3437,1311.8,2026-10-01,2026-02-22,2,13118.0
NEWPO2026_SCALED_000109,1100000070,Medical-Grade Polymer Manufacturer,PLT PSTL W/TB 1.5 RNASE-FR.,3437,1311.8,2026-11-02,2026-02-22,2,13118.0
NEWPO2026_SCALED_000110,1100000070,Medical-Grade Polymer Manufacturer,PLT PSTL W/TB 1.5 RNASE-FR.,3437,1311.8,2026-12-01,2026-02-22,2,13118.0
NEWPO2026_SCALED_000111,1100000070,Medical-Grade Polymer Manufacturer,PELLET PESTLE DISP W/TUBE,497,87.46,2026-03-02,2026-02-22,1,874.65
NEWPO2026_SCALED_000112,1100000070,Medical-Grade Polymer Manufacturer,PELLET PESTLE DISP W/TUBE,497,87.46,2026-04-01,2026-02-22,1,874.65
NEWPO2026_SCALED_000113,1100000070,Medical-Grade Polymer Manufacturer,PELLET PESTLE DISP W/TUBE,497,87.46,2026-05-01,2026-02-22,1,874.65
NEWPO2026_SCALED_000114,1100000070,Medical-Grade Polymer Manufacturer,PELLET PESTLE DISP W/TUBE,497,87.46,2026-06-01,2026-02-22,1,874.65
NEWPO2026_SCALED_000115,1100000070,Medical-Grade Polymer Manufacturer,PELLET PESTLE DISP W/TUBE,497,87.46,2026-07-01,2026-02-22,1,874.65
NEWPO2026_SCALED_000116,1100000070,Medical-Grade Polymer Manufacturer,PELLET PESTLE DISP W/TUBE,497,87.46,2026-08-03,2026-02-22,1,874.65
NEWPO2026_SCALED_000117,1100000070,Medical-Grade Polymer Manufacturer,PELLET PESTLE DISP W/TUBE,497,87.46,2026-09-01,2026-02-22,1,874.65
NEWPO2026_SCALED_000118,1100000070,Medical-Grade Polymer Manufacturer,PELLET PESTLE DISP W/TUBE,497,87.46,2026-10-01,2026-02-22,1,874.65
NEWPO2026_SCALED_000119,1100000070,Medical-Grade Polymer Manufacturer,PELLET PESTLE DISP W/TUBE,497,87.46,2026-11-02,2026-02-22,1,874.65
NEWPO2026_SCALED_000120,1100000070,Medical-Grade Polymer Manufacturer,PELLET PESTLE DISP W/TUBE,497,87.46,2026-12-01,2026-02-22,1,874.65
NEWPO2026_SCALED_000121,1100000070,Medical-Grade Polymer Manufacturer,SAMPLE TUBE 1.5 ML PKG/100,60,4.87,2026-03-02,2026-02-22,1,48.66
NEWPO2026_SCALED_000122,1100000070,Medical-Grade Polymer Manufacturer,SAMPLE TUBE 1.5 ML PKG/100,60,4.87,2026-04-01,2026-02-22,1,48.66
NEWPO2026_SCALED_000123,1100000070,Medical-Grade Polymer Manufacturer,SAMPLE TUBE 1.5 ML PKG/100,60,4.87,2026-05-01,2026-02-22,1,48.66
NEWPO2026_SCALED_000124,1100000070,Medical-Grade Polymer Manufacturer,SAMPLE TUBE 1.5 ML PKG/100,60,4.87,2026-06-01,2026-02-22,1,48.66
NEWPO2026_SCALED_000125,1100000070,Medical-Grade Polymer Manufacturer,SAMPLE TUBE 1.5 ML PKG/100,60,4.87,2026-07-01,2026-02-22,1,48.66
NEWPO2026_SCALED_000126,1100000070,Medical-Grade Polymer Manufacturer,SAMPLE TUBE 1.5 ML PKG/100,60,4.87,2026-08-03,2026-02-22,1,48.66
NEWPO2026_SCALED_000127,1100000070,Medical-Grade Polymer Manufacturer,SAMPLE TUBE 1.5 ML PKG/100,60,4.87,2026-09-01,2026-02-22,1,48.66
NEWPO2026_SCALED_000128,1100000070,Medical-Grade Polymer Manufacturer,SAMPLE TUBE 1.5 ML PKG/100,60,4.87,2026-10-01,2026-02-22,1,48.66
NEWPO2026_SCALED_000129,1100000070,Medical-Grade Polymer Manufacturer,SAMPLE TUBE 1.5 ML PKG/100,60,4.87,2026-11-02,2026-02-22,1,48.66
NEWPO2026_SCALED_000130,1100000070,Medical-Grade Polymer Manufacturer,SAMPLE TUBE 1.5 ML PKG/100,60,4.87,2026-12-01,2026-02-22,1,48.66
NEWPO2026_SCALED_000131,1100000070,Medical-Grade Polymer Manufacturer,"PELLET PESTLE W/TUBE,0.5ML,RNASE-FREE,FS",315,121.38,2026-03-02,2026-02-22,1,1213.76
NEWPO2026_SCALED_000132,1100000070,Medical-Grade Polymer Manufacturer,"PELLET PESTLE W/TUBE,0.5ML,RNASE-FREE,FS",315,121.38,2026-04-01,2026-02-22,1,1213.76
NEWPO2026_SCALED_000133,1100000070,Medical-Grade Polymer Manufacturer,"PELLET PESTLE W/TUBE,0.5ML,RNASE-FREE,FS",315,121.38,2026-05-01,2026-02-22,1,1213.76
NEWPO2026_SCALED_000134,1100000070,Medical-Grade Polymer Manufacturer,"PELLET PESTLE W/TUBE,0.5ML,RNASE-FREE,FS",315,121.38,2026-06-01,2026-02-22,1,1213.76
NEWPO2026_SCALED_000135,1100000070,Medical-Grade Polymer Manufacturer,"PELLET PESTLE W/TUBE,0.5ML,RNASE-FREE,FS",315,121.38,2026-07-01,2026-02-22,1,1213.76
NEWPO2026_SCALED_000136,1100000070,Medical-Grade Polymer Manufacturer,"PELLET PESTLE W/TUBE,0.5ML,RNASE-FREE,FS",315,121.38,2026-08-03,2026-02-22,1,1213.76
NEWPO2026_SCALED_000137,1100000070,Medical-Grade Polymer Manufacturer,"PELLET PESTLE W/TUBE,0.5ML,RNASE-FREE,FS",315,121.38,2026-09-01,2026-02-22,1,1213.76
NEWPO2026_SCALED_000138,1100000070,Medical-Grade Polymer Manufacturer,"PELLET PESTLE W/TUBE,0.5ML,RNASE-FREE,FS",315,121.38,2026-10-01,2026-02-22,1,1213.76
NEWPO2026_SCALED_000139,1100000070,Medical-Grade Polymer Manufacturer,"PELLET PESTLE W/TUBE,0.5ML,RNASE-FREE,FS",315,121.38,2026-11-02,2026-02-22,1,1213.76
NEWPO2026_SCALED_000140,1100000070,Medical-Grade Polymer Manufacturer,"PELLET PESTLE W/TUBE,0.5ML,RNASE-FREE,FS",315,121.38,2026-12-01,2026-02-22,1,1213.76
NEWPO2026_SCALED_000141,1100000070,Medical-Grade Polymer Manufacturer,PELLET PESTLE W/TUBE 0.5ML,10,2.51,2026-03-02,2026-02-22,1,25.07
NEWPO2026_SCALED_000142,1100000070,Medical-Grade Polymer Manufacturer,PELLET PESTLE W/TUBE 0.5ML,10,2.51,2026-04-01,2026-02-22,1,25.07
NEWPO2026_SCALED_000143,1100000070,Medical-Grade Polymer Manufacturer,PELLET PESTLE W/TUBE 0.5ML,10,2.51,2026-05-01,2026-02-22,1,25.07
NEWPO2026_SCALED_000144,1100000070,Medical-Grade Polymer Manufacturer,PELLET PESTLE W/TUBE 0.5ML,10,2.51,2026-06-01,2026-02-22,1,25.07
NEWPO2026_SCALED_000145,1100000070,Medical-Grade Polymer Manufacturer,PELLET PESTLE W/TUBE 0.5ML,10,2.51,2026-07-01,2026-02-22,1,25.07
NEWPO2026_SCALED_000146,1100000070,Medical-Grade Polymer Manufacturer,PELLET PESTLE W/TUBE 0.5ML,10,2.51,2026-08-03,2026-02-22,1,25.07
NEWPO2026_SCALED_000147,1100000070,Medical-Grade Polymer Manufacturer,PELLET PESTLE W/TUBE 0.5ML,10,2.51,2026-09-01,2026-02-22,1,25.07
NEWPO2026_SCALED_000148,1100000070,Medical-Grade Polymer Manufacturer,PELLET PESTLE W/TUBE 0.5ML,10,2.51,2026-10-01,2026-02-22,1,25.07
NEWPO2026_SCALED_000149,1100000070,Medical-Grade Polymer Manufacturer,PELLET PESTLE W/TUBE 0.5ML,10,2.51,2026-11-02,2026-02-22,1,25.07
